Provider_id	Region_id	Description	Measure_id	Denominator	Numerator			
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	5A58F529-B673-4BC7-B686-CB9B3B755778	112	15		11E825E0-F8A8-4BEB-8C9A-BD8F4EB33814	Heart Failure Beta
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	BD246D76-724D-4CB8-BC0A-D2AD73EB2801	194	26		5A58F529-B673-4BC7-B686-CB9B3B755778	Mammo
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	HIV/AIDS	0	0		BD246D76-724D-4CB8-BC0A-D2AD73EB2801	Cervical Cancer Screening
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	F1670A16-6D8A-4B33-9EC7-E62382F5031B	4	3		F1670A16-6D8A-4B33-9EC7-E62382F5031B	IVD Antithrombotic
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	2F3C6ED6-D3DB-498F-B881-ED9A3A66E476	82	0		2F3C6ED6-D3DB-498F-B881-ED9A3A66E476	Smoking
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	BD709062-B9D6-406F-BCED-FD892B81ED6E	62	32		BD709062-B9D6-406F-BCED-FD892B81ED6E	Osteoarthritis F and P
D255CA19-6A4F-46D1-B373-5874E572923D	1	Acor MD, Barry	Chlamydia Screening	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	CAD Antiplatelet	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	CAD Lipid Lowering Drugs	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	Lipid Testing	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	Pneumonia Vaccination	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	Influenza	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	Depression	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	92877B4E-A96E-45A4-8734-53D5A6100069	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	B28AF571-9833-474D-8F35-5BC557C89BEE	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	Lipid LT 100	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	FD13C439-E2CC-4D4E-B5B2-67E8A976BB95	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	9B6F3897-53F0-40EE-BFBC-6DD4162618F8	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	086B0985-E4AD-43C1-9C22-88CFBE261E3F	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	61173E6E-083D-4F59-8097-921C8AD4A8F0	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	D03562F7-FF8A-405C-BCA9-94DEC092F33E	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	849E7DDB-8DDB-4175-982D-974EFAFB808F	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	IVD Antithrombotic Neuro	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	DDF1489B-C3F6-46C3-A403-B5F7D0C9E379	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	ED87A3EC-8929-4397-B1AB-B6E3460F63E7	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	6F3C49DB-F20A-40AE-846E-B79DE7343243	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	D06F1D7A-1E8A-4DAD-8ED0-B95ACFB2F2D4	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	11E825E0-F8A8-4BEB-8C9A-BD8F4EB33814	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	LDL Control	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	5A58F529-B673-4BC7-B686-CB9B3B755778	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	BD246D76-724D-4CB8-BC0A-D2AD73EB2801	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	HIV/AIDS	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	F1670A16-6D8A-4B33-9EC7-E62382F5031B	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	2F3C6ED6-D3DB-498F-B881-ED9A3A66E476	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	BD709062-B9D6-406F-BCED-FD892B81ED6E	0	0			
EEE888ED-E0D4-447A-9DB2-1AA7C9D5CA51	1	Ainslie CNM, Georgianna	Chlamydia Screening	0	0			
70261E64-D6E9-430F-B99B-8BB1F4CB5BD4	1	Ajmani MD, Shashi	9B6F3897-53F0-40EE-BFBC-6DD4162618F8	126	0			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	CAD Antiplatelet	1	1			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	CAD Lipid Lowering Drugs	0	0			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	Lipid Testing	54	42			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	Pneumonia Vaccination	35	7			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	Influenza	149	4			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	Depression	122	0			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	92877B4E-A96E-45A4-8734-53D5A6100069	0	0			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	B28AF571-9833-474D-8F35-5BC557C89BEE	0	0			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	Lipid LT 100	0	0			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	FD13C439-E2CC-4D4E-B5B2-67E8A976BB95	0	0			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	9B6F3897-53F0-40EE-BFBC-6DD4162618F8	122	0			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	086B0985-E4AD-43C1-9C22-88CFBE261E3F	17	4			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	61173E6E-083D-4F59-8097-921C8AD4A8F0	0	0			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	D03562F7-FF8A-405C-BCA9-94DEC092F33E	16	10			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	849E7DDB-8DDB-4175-982D-974EFAFB808F	24	0			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	IVD Antithrombotic Neuro	0	0			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	DDF1489B-C3F6-46C3-A403-B5F7D0C9E379	17	5			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	ED87A3EC-8929-4397-B1AB-B6E3460F63E7	84	11			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	6F3C49DB-F20A-40AE-846E-B79DE7343243	1	0			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	D06F1D7A-1E8A-4DAD-8ED0-B95ACFB2F2D4	0	0			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	11E825E0-F8A8-4BEB-8C9A-BD8F4EB33814	0	0			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	LDL Control	0	0			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	5A58F529-B673-4BC7-B686-CB9B3B755778	26	1			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	BD246D76-724D-4CB8-BC0A-D2AD73EB2801	33	1			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	HIV/AIDS	0	0			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	F1670A16-6D8A-4B33-9EC7-E62382F5031B	0	0			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	2F3C6ED6-D3DB-498F-B881-ED9A3A66E476	0	0			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	BD709062-B9D6-406F-BCED-FD892B81ED6E	5	0			
801BAAAE-7799-4649-BAAF-2CF4F96DF6F0	1	Alessi MD, Christopher	Chlamydia Screening	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	CAD Antiplatelet	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	CAD Lipid Lowering Drugs	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	Lipid Testing	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	Pneumonia Vaccination	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	Influenza	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	Depression	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	92877B4E-A96E-45A4-8734-53D5A6100069	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	B28AF571-9833-474D-8F35-5BC557C89BEE	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	Lipid LT 100	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	FD13C439-E2CC-4D4E-B5B2-67E8A976BB95	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	9B6F3897-53F0-40EE-BFBC-6DD4162618F8	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	086B0985-E4AD-43C1-9C22-88CFBE261E3F	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	61173E6E-083D-4F59-8097-921C8AD4A8F0	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	D03562F7-FF8A-405C-BCA9-94DEC092F33E	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	849E7DDB-8DDB-4175-982D-974EFAFB808F	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	IVD Antithrombotic Neuro	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	DDF1489B-C3F6-46C3-A403-B5F7D0C9E379	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	ED87A3EC-8929-4397-B1AB-B6E3460F63E7	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	6F3C49DB-F20A-40AE-846E-B79DE7343243	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	D06F1D7A-1E8A-4DAD-8ED0-B95ACFB2F2D4	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	11E825E0-F8A8-4BEB-8C9A-BD8F4EB33814	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	LDL Control	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	5A58F529-B673-4BC7-B686-CB9B3B755778	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	BD246D76-724D-4CB8-BC0A-D2AD73EB2801	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	HIV/AIDS	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	F1670A16-6D8A-4B33-9EC7-E62382F5031B	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	2F3C6ED6-D3DB-498F-B881-ED9A3A66E476	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	BD709062-B9D6-406F-BCED-FD892B81ED6E	0	0			
A7B4F6D5-8312-48C9-B99B-1FC153742230	1	Allard CNM, Kimberly A	Chlamydia Screening	0	0			
407DDB55-3C32-4CA7-ACC7-A1F8000D1B40	1	Allen PA, William Z	9B6F3897-53F0-40EE-BFBC-6DD4162618F8	800	250			
58589C96-4C5A-4876-8D9E-BC685C5C197B	1	Amideo PAC, Nicole L	9B6F3897-53F0-40EE-BFBC-6DD4162618F8	0	0			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	CAD Antiplatelet	0	0			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	CAD Lipid Lowering Drugs	0	0			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	Lipid Testing	11	8			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	Pneumonia Vaccination	22	1			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	Influenza	149	5			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	Depression	156	0			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	92877B4E-A96E-45A4-8734-53D5A6100069	0	0			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	B28AF571-9833-474D-8F35-5BC557C89BEE	0	0			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	Lipid LT 100	0	0			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	FD13C439-E2CC-4D4E-B5B2-67E8A976BB95	0	0			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	9B6F3897-53F0-40EE-BFBC-6DD4162618F8	154	0			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	086B0985-E4AD-43C1-9C22-88CFBE261E3F	8	0			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	61173E6E-083D-4F59-8097-921C8AD4A8F0	0	0			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	D03562F7-FF8A-405C-BCA9-94DEC092F33E	8	7			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	849E7DDB-8DDB-4175-982D-974EFAFB808F	10	0			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	IVD Antithrombotic Neuro	0	0			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	DDF1489B-C3F6-46C3-A403-B5F7D0C9E379	8	4			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	ED87A3EC-8929-4397-B1AB-B6E3460F63E7	80	10			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	6F3C49DB-F20A-40AE-846E-B79DE7343243	0	0			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	D06F1D7A-1E8A-4DAD-8ED0-B95ACFB2F2D4	0	0			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	11E825E0-F8A8-4BEB-8C9A-BD8F4EB33814	0	0			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	LDL Control	0	0			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	5A58F529-B673-4BC7-B686-CB9B3B755778	42	5			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	BD246D76-724D-4CB8-BC0A-D2AD73EB2801	76	14			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	HIV/AIDS	0	0			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	F1670A16-6D8A-4B33-9EC7-E62382F5031B	0	0			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	2F3C6ED6-D3DB-498F-B881-ED9A3A66E476	0	0			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	BD709062-B9D6-406F-BCED-FD892B81ED6E	3	0			
91F280D2-BF63-4009-B825-0215249F1BDE	1	Andersen MD, Bruce	Chlamydia Screening	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	CAD Antiplatelet	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	CAD Lipid Lowering Drugs	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	Lipid Testing	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	Pneumonia Vaccination	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	Influenza	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	Depression	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	92877B4E-A96E-45A4-8734-53D5A6100069	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	B28AF571-9833-474D-8F35-5BC557C89BEE	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	Lipid LT 100	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	FD13C439-E2CC-4D4E-B5B2-67E8A976BB95	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	9B6F3897-53F0-40EE-BFBC-6DD4162618F8	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	086B0985-E4AD-43C1-9C22-88CFBE261E3F	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	61173E6E-083D-4F59-8097-921C8AD4A8F0	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	D03562F7-FF8A-405C-BCA9-94DEC092F33E	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	849E7DDB-8DDB-4175-982D-974EFAFB808F	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	IVD Antithrombotic Neuro	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	DDF1489B-C3F6-46C3-A403-B5F7D0C9E379	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	ED87A3EC-8929-4397-B1AB-B6E3460F63E7	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	6F3C49DB-F20A-40AE-846E-B79DE7343243	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	D06F1D7A-1E8A-4DAD-8ED0-B95ACFB2F2D4	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	11E825E0-F8A8-4BEB-8C9A-BD8F4EB33814	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	LDL Control	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	5A58F529-B673-4BC7-B686-CB9B3B755778	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	BD246D76-724D-4CB8-BC0A-D2AD73EB2801	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	HIV/AIDS	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	F1670A16-6D8A-4B33-9EC7-E62382F5031B	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	2F3C6ED6-D3DB-498F-B881-ED9A3A66E476	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	BD709062-B9D6-406F-BCED-FD892B81ED6E	0	0			
8CF6D2C4-1F6B-4B3E-95FC-75E17909CAF4	1	Anderson CNS, Jill	Chlamydia Screening	0	0			
80924727-8A30-4D90-89C5-E7633004F43D	1	Anderson MD, Bryan	9B6F3897-53F0-40EE-BFBC-6DD4162618F8	0	0			
5866E7F4-247E-4F47-ACA7-4ACDD306CB85	1	Anderson MD, Jennifer	CAD Antiplatelet	2	2			
5866E7F4-247E-4F47-ACA7-4ACDD306CB85	1	Anderson MD, Jennifer	CAD Lipid Lowering Drugs	0	0			
5866E7F4-247E-4F47-ACA7-4ACDD306CB85	1	Anderson MD, Jennifer	Lipid Testing	53	42			
5866E7F4-247E-4F47-ACA7-4ACDD306CB85	1	Anderson MD, Jennifer	Pneumonia Vaccination	44	11			
5866E7F4-247E-4F47-ACA7-4ACDD306CB85	1	Anderson MD, Jennifer	Influenza	242	44			
5866E7F4-247E-4F47-ACA7-4ACDD306CB85	1	Anderson MD, Jennifer	Depression	222	19			
5866E7F4-247E-4F47-ACA7-4ACDD306CB85	1	Anderson MD, Jennifer	92877B4E-A96E-45A4-8734-53D5A6100069	0	0			
5866E7F4-247E-4F47-ACA7-4ACDD306CB85	1	Anderson MD, Jennifer	B28AF571-9833-474D-8F35-5BC557C89BEE	0	0			
5866E7F4-247E-4F47-ACA7-4ACDD306CB85	1	Anderson MD, Jennifer	Lipid LT 100	0	0			
5866E7F4-247E-4F47-ACA7-4ACDD306CB85	1	Anderson MD, Jennifer	FD13C439-E2CC-4D4E-B5B2-67E8A976BB95	3	0			
